,_valueName,count
0,Acrylic,30720
1,Canvas,480588
2,Corduroy,8436
3,Cork,858
4,Cotton,144999
5,Cowhide,5628
6,Denim,17293
7,Fabric,165476
8,Faux Crocodile/Alligator,2614
9,Faux Fur,20344
10,Faux Leather,434736
11,Faux Snakeskin,835
12,Faux Suede,5232
13,Fur,21824
14,Hemp,1322
15,Jute,4440
16,Leather,920898
17,Linen,8741
18,Metal,67533
19,Microfiber,9964
20,Mixed,6414
21,Neoprene,828657
22,Nylon,402739
23,Oilcloth,4499
24,Ostrich,5775
25,Paper,88874
26,Patent Leather,16981
27,Polyester,429243
28,PVC,52665
29,Resin,7355
30,Satin,19564
31,Sheepskin,1775
32,Silk,9881
33,Snakeskin,4616
34,Straw,19256
35,Suede,19483
36,Synthetic,558446
37,Tapestry,2660
38,Velvet,24184
39,Wicker,1612
40,Wood,12863
41,Wool,5036
42,Not Specified,4734099
